title,media_condition,sleeve_condition,price,buy_url,seller_rating,seller_url
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),146.07,https://www.discogs.com/sell/item/1974287552,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),178.0,https://www.discogs.com/sell/item/1628106085,99.9,https://www.discogs.com/seller/ella_records/profile
"山下達郎* - 僕の中の少年 (2020 Remaster) (2xLP, Album, Ltd, RE, RM, 180)",Mint (M),Mint (M),139.0,https://www.discogs.com/sell/item/1873197673,100.0,https://www.discogs.com/seller/uptheline/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),225.0,https://www.discogs.com/sell/item/1203076116,100.0,https://www.discogs.com/seller/GrooveKegores/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),221.0,https://www.discogs.com/sell/item/1844287741,99.3,https://www.discogs.com/seller/petapitarec/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),200.2,https://www.discogs.com/sell/item/1816394644,100.0,https://www.discogs.com/seller/aweraeeeerww/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),141.0,https://www.discogs.com/sell/item/1400397154,99.9,https://www.discogs.com/seller/ella_records/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),178.99,https://www.discogs.com/sell/item/1556099206,99.8,https://www.discogs.com/seller/DeeperThanTheDeepest/profile
"山下達郎* - 僕の中の少年 (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),148.99,https://www.discogs.com/sell/item/1309151515,99.8,https://www.discogs.com/seller/DeeperThanTheDeepest/profile
"Tatsuro Yamashita - Joy (3xLP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),1854.73,https://www.discogs.com/sell/item/2053405514,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"Tatsuro Yamashita - Joy (3xLP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),2110.99,https://www.discogs.com/sell/item/1947354614,99.8,https://www.discogs.com/seller/DeeperThanTheDeepest/profile
"Tatsuro Yamashita - Joy (3xLP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),2124.15,https://www.discogs.com/sell/item/1678844383,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),111.67,https://www.discogs.com/sell/item/2063049926,94.8,https://www.discogs.com/seller/magius/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Near Mint (NM or M-),Near Mint (NM or M-),86.99,https://www.discogs.com/sell/item/2026351211,100.0,https://www.discogs.com/seller/NeauxNeuMusik/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),,https://www.discogs.com/sell/item/2046741131,98.9,https://www.discogs.com/seller/recordgs/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Near Mint (NM or M-),Near Mint (NM or M-),107.65,https://www.discogs.com/sell/item/2027440283,100.0,https://www.discogs.com/seller/Origami_Records/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),83.0,https://www.discogs.com/sell/item/1989554702,99.4,https://www.discogs.com/seller/ineditas/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Near Mint (NM or M-),Near Mint (NM or M-),73.99,https://www.discogs.com/sell/item/1808322406,99.7,https://www.discogs.com/seller/estacio/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),89.0,https://www.discogs.com/sell/item/1852904566,100.0,https://www.discogs.com/seller/uptheline/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),134.9,https://www.discogs.com/sell/item/1839958753,100.0,https://www.discogs.com/seller/neonmusicdiscogs/profile
"山下達郎* - Artisan (30th Anniversary Edition) (2xLP, Album, RE, RM, 180)",Mint (M),Mint (M),90.99,https://www.discogs.com/sell/item/1658537899,100.0,https://www.discogs.com/seller/Off-sessions/profile
"Tatsuro Yamashita - Season's Greetings  (20th Anniversary Edition) (2xLP, Album, RE, RM)",Very Good Plus (VG+),Very Good Plus (VG+),1160.56,https://www.discogs.com/sell/item/2063314043,94.8,https://www.discogs.com/seller/magius/profile
"Tatsuro Yamashita - On The Street Corner 3 (LP, Album, Ltd)",Very Good Plus (VG+),Near Mint (NM or M-),149.99,https://www.discogs.com/sell/item/1565205694,99.9,https://www.discogs.com/seller/kirbystarr/profile
"Tatsuro Yamashita - On The Street Corner 3 (LP, Album, Ltd)",Near Mint (NM or M-),Near Mint (NM or M-),152.9,https://www.discogs.com/sell/item/2057646866,99.6,https://www.discogs.com/seller/kittertea/profile
"Tatsuro Yamashita - On The Street Corner 0 Analog (LP, Album)",Mint (M),Mint (M),408.5,https://www.discogs.com/sell/item/1981328297,100.0,https://www.discogs.com/seller/_Disclub_/profile
"Tatsuro Yamashita - Ray Of Hope (2xLP, Album, Gat)",Near Mint (NM or M-),Near Mint (NM or M-),333.9,https://www.discogs.com/sell/item/1581969151,99.6,https://www.discogs.com/seller/kittertea/profile
"Tatsuro Yamashita - Ray Of Hope (2xLP, Album, Gat)",Near Mint (NM or M-),Near Mint (NM or M-),437.69,https://www.discogs.com/sell/item/1113974695,100.0,https://www.discogs.com/seller/the-label/profile
